鈴木　栄治マルチメディア事業部   企画部     計画課     課長 000600000000200000000100003000013000000050000000040000000030000
佐藤　博　マルチメディア事業部   企画部     計画課          000570000000203000000010005000023000000040000000040000000030000
小林　亨　マルチメディア事業部   企画部     計画課          000460000000200100000100025000000000000004000000000423000030000
清水　明　マルチメディア事業部   企画部     計画課          000450000000200100000010205000000000000005000000000420000030000
山形　薫　マルチメディア事業部   企画部     計画課          000440000000200100000010025000000000000002000000000400000030000
松田　剛　マルチメディア事業部   第１開発部 開発課          000430000000210000000010627000000000000000200000000400000030000
山田　友則マルチメディア事業部   第１開発部 開発課          000460000000210000000018520000000000000000500000000400000030000
佐々木祐二マルチメディア事業部   第１開発部 開発課          000470000000210000000015720000000000000000700000000400000030000
平仲　健二マルチメディア事業部   第１開発部 開発課          000430000000100000000010200000000000000008000000004000000300000
佐藤　宏明マルチメディア事業部   第１開発部 開発課          000400000000300000000010002000000000000000900000000400000030000
渡辺　博之マルチメディア事業部   第１開発部 開発課          000400000000200000000010020000000000000000100000000400000030000
斎藤　昭光開発支援部             品質推進部 製品検査課      000470000000200000000010000000013022000000000000000400000030000
田中　誠　開発支援部             品質推進部 製品検査課      000450000000100000000005000000003002000000000000000000000000000
内田　靖之開発支援部             品質推進部 製品検査課      000440000000300000000004000000013030000000000000000000000000000
鎌田　信高開発支援部             品質推進部 製品検査課      000430000000100030000003000000013030000000000000000000000000000
小林　信幸開発支援部             品質推進部 製品検査課      000420000000103000000002000000013020000000000000000000000000000
草刈　雅之開発支援部             品質推進部 製品検査課      000410000000220000000001000000013003000000000000000000000000000
広田　貴明北関東営業本部         販売推進部 第１推進課 課長 000600000000200000000100003000013000000050000000040000000030000
松下　幸三北関東営業本部         販売推進部 第１推進課      000570000000203000000010005000023000000040000000040000000030000
加美　友之北関東営業本部         販売推進部 第１推進課      000460000000200100000100025000000000000004000000000423000030000
細川　晃阿北関東営業本部         販売推進部 第１推進課      000450000000200100000010205000000000000005000000000420000030000
斎藤　幸男北関東営業本部         第１営業部 第１営業課      000440000000200100000010025000000000000002000000000400000030000
高橋　由之北関東営業本部         第１営業部 第１営業課      000430000000210000000010627000000000000000200000000400000030000
広沢　和也北関東営業本部         第１営業部 第１営業課      000460000000210000000018520000000000000000500000000400000030000
渡辺　真浦北関東営業本部         第１営業部 第１営業課      000470000000210000000015720000000000000000700000000400000030000
伊藤　浩二北関東営業本部         第１営業部 第１営業課      000430000000100000000010200000000000000008000000004000000300000
山本　貴男北関東営業本部         第１営業部 第１営業課      000400000000300000000010002000000000000000900000000400000030000
